occ_code	component
29-2092	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
29-2098	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
29-2099	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
29-2799	29-2036 | 29-2057 | 29-2072 | 29-2092 | 29-2099
29-2040	29-2042 | 29-2043
29-2041	29-2042 | 29-2043
29-2042	29-2042 | 29-2043
29-2043	29-2042 | 29-2043
29-2051	29-2051
29-2052	29-2052
29-2053	29-2053
29-2055	29-2055
29-2056	29-2056
29-2061	29-2061
29-2081	29-2081
29-2091	29-2091
29-9092	29-9092 | 29-9093 | 29-9099
29-9093	29-9092 | 29-9093 | 29-9099
29-9098	29-9092 | 29-9093 | 29-9099
29-9099	29-9092 | 29-9093 | 29-9099
29-9799	29-9092 | 29-9093 | 29-9099
31-1011	31-1121 | 31-1122
31-1120	31-1121 | 31-1122
39-9021	31-1121 | 31-1122
31-1012	31-1131 | 31-1132
31-1014	31-1131 | 31-1132
31-1015	31-1131 | 31-1132
31-1131	31-1131 | 31-1132
31-1132	31-1131 | 31-1132
31-1013	31-1133
31-1133	31-1133
31-2011	31-2011
31-2012	31-2012
31-2021	31-2021
31-2022	31-2022
31-9011	31-9011
31-9091	31-9091
31-9092	31-9092
31-9093	31-9093
31-9094	31-9094
31-9095	31-9095
31-9096	31-9096
31-9097	31-9097 | 31-9099
31-9099	31-9097 | 31-9099
31-9799	31-9097 | 31-9099
33-1011	33-1011
33-1012	33-1012
33-1021	33-1021
33-1090	33-1091 | 33-1099
33-1091	33-1091 | 33-1099
33-1099	33-1091 | 33-1099
33-2011	33-2011
33-2021	33-2021
33-2022	33-2022
33-3011	33-3011
33-3012	33-3012
33-3021	33-3021
33-3031	33-3031
33-3041	33-3041
33-3051	33-3051
33-3052	33-3052
33-9011	33-9011
33-9021	33-9021
33-9031	33-9031
33-9032	33-9032
33-9091	33-9091
33-9092	33-9092
33-9093	33-9093
33-9094	33-9094 | 33-9099
33-9098	33-9094 | 33-9099
33-9099	33-9094 | 33-9099
35-1011	35-1011
35-1012	35-1012
35-2011	35-2011
35-2012	35-2012
35-2014	35-2014
35-2015	35-2015
35-2021	35-2021
35-3011	35-3011
35-3021	35-3023
35-3022	35-3023
35-3023	35-3023
35-3031	35-3031
35-3041	35-3041
35-9011	35-9011
35-9021	35-9021
35-9031	35-9031
37-1011	37-1011
37-1012	37-1012
37-2011	37-2011
37-2012	37-2012
37-2021	37-2021
37-3011	37-3011
37-3012	37-3012
37-3013	37-3013
39-1010	39-1013
39-1011	39-1013
39-1012	39-1013
39-1013	39-1013
39-1014	39-1014
39-1021	39-1014
39-1098	39-1014
39-2011	39-2011
39-2021	39-2021
39-3011	39-3011
39-3012	39-3012
39-3021	39-3021
39-3031	39-3031
39-3091	39-3091
39-3092	39-3092
39-3093	39-3093
39-4011	39-4011
39-4012	39-4012 | 39-9099
39-9098	39-4012 | 39-9099
39-9099	39-4012 | 39-9099
39-4021	39-4021
39-5011	39-5011
39-5012	39-5012
39-5091	39-5091
39-5092	39-5092
39-5093	39-5093
39-5094	39-5094
39-6011	39-6011
39-6012	39-6012
39-6032	53-6061
53-6061	53-6061
39-9011	39-9011
39-9031	39-9031
39-9032	39-9032
39-9041	39-9041
41-1011	41-1011
41-1012	41-1012
41-2011	41-2011
41-2012	41-2012
41-2021	41-2021
41-2022	41-2022
41-2031	41-2031
41-3011	41-3011
41-3021	41-3021
41-3031	41-3031
41-3041	41-3041
41-3091	41-3091
41-3099	41-3091
41-4011	41-4011
41-4012	41-4012
41-9011	41-9011
41-9012	41-9012
41-9021	41-9021
41-9022	41-9022
41-9031	41-9031
41-9041	41-9041
41-9091	41-9091
43-1011	43-1011
43-2011	43-2011
43-2021	43-2021
43-3011	43-3011
43-3021	43-3021
43-3031	43-3031
43-3041	43-3041
43-3051	43-3051
43-3061	43-3061
43-3071	43-3071
43-4011	43-4011
43-4021	43-4021
43-4031	43-4031
43-4041	43-4041
43-4051	43-4051
43-4061	43-4061
43-4071	43-4071
43-4081	43-4081
43-4111	43-4111
43-4121	43-4121
43-4131	43-4131
43-4141	43-4141
43-4151	43-4151
43-4161	43-4161
43-4171	43-4171
43-4181	43-4181
43-5011	43-5011
43-5021	43-5021
43-5031	43-5031
43-5032	43-5032
43-5041	43-5041
43-5051	43-5051
43-5052	43-5052
43-5053	43-5053
43-5061	43-5061
43-5071	43-5071
43-5081	53-7065
53-7065	53-7065
43-5111	43-5111
43-6011	43-6011
43-6012	43-6012
43-6013	43-6013
43-6014	43-6014
43-9021	43-9021
43-9022	43-9022
43-9031	43-9031
43-9041	43-9041
43-9051	43-9051
43-9061	43-9061
43-9071	43-9071
43-9081	43-9081
43-9111	43-9111
45-1011	45-1011
45-2011	45-2011
45-2021	45-2021
45-2041	45-2041
45-2091	45-2091
45-2092	45-2092
45-2093	45-2093
45-4011	45-4011
45-4021	45-4021
45-4022	45-4022
45-4023	45-4023
47-1011	47-1011
47-2011	47-2011
47-2021	47-2021
47-2022	47-2022
47-2031	47-2031
47-2041	47-2041
47-2042	47-2042
47-2043	47-2043
47-2044	47-2044
47-2051	47-2051
47-2053	47-2053
47-2061	47-2061
47-2071	47-2071
47-2072	47-2072
47-2073	47-2073
47-2081	47-2081
47-2082	47-2082
47-2111	47-2111
47-2121	47-2121
47-2131	47-2131
47-2132	47-2132
47-2141	47-2141
47-2142	47-2142
47-2151	47-2151
47-2152	47-2152
47-2161	47-2161
47-2171	47-2171
47-2181	47-2181
47-2211	47-2211
47-2221	47-2221
47-2231	47-2231 | 47-4091 | 47-4099
47-4090	47-2231 | 47-4091 | 47-4099
47-4091	47-2231 | 47-4091 | 47-4099
47-4099	47-2231 | 47-4091 | 47-4099
47-4799	47-2231 | 47-4091 | 47-4099
47-3011	47-3011
47-3012	47-3012
47-3013	47-3013
47-3014	47-3014
47-3015	47-3015
47-3016	47-3016
47-4011	47-4011
47-4021	47-4021
47-4031	47-4031
47-4041	47-4041
47-4051	47-4051
47-4061	47-4061
47-4071	47-4071
47-5011	47-5011
47-5012	47-5012
47-5013	47-5013
47-5021	47-5023
47-5023	47-5023
47-5097	47-5023
47-5022	47-5022
53-7032	47-5022
47-5041	47-5041
47-5043	47-5043
47-5061	47-5043
47-5044	47-5044
53-7033	47-5044
53-7111	47-5044
47-5051	47-5051
47-5071	47-5071
47-5081	47-5081
49-1011	49-1011
49-2011	49-2011
49-2021	49-2021
49-2022	49-2022
49-2091	49-2091
49-2092	49-2092
49-2093	49-2093
49-2094	49-2094
49-2095	49-2095
49-2096	49-2096
49-2097	49-2097
49-2098	49-2098
49-3011	49-3011
49-3021	49-3021
49-3022	49-3022
49-3023	49-3023
49-3031	49-3031
49-3041	49-3041
49-3042	49-3042
49-3043	49-3043
49-3051	49-3051
49-3052	49-3052
49-3053	49-3053
49-3091	49-3091
49-3092	49-3092
49-3093	49-3093
49-9011	49-9011
49-9012	49-9012
49-9021	49-9021
49-9031	49-9031
49-9041	49-9041
49-9042	49-9071
49-9071	49-9071
49-9043	49-9043
49-9044	49-9044
49-9045	49-9045
49-9051	49-9051
49-9052	49-9052
49-9061	49-9061
49-9062	49-9062
49-9063	49-9063
49-9064	49-9064
49-9081	49-9081 | 49-9099
49-9099	49-9081 | 49-9099
49-9799	49-9081 | 49-9099
49-9091	49-9091
49-9092	49-9092
49-9094	49-9094
49-9095	49-9095
49-9096	49-9096
49-9097	49-9097
49-9098	49-9098
51-1011	51-1011
51-2011	51-2011
51-2021	51-2021
51-2022	51-2022 | 51-2023
51-2023	51-2022 | 51-2023
51-2028	51-2022 | 51-2023
51-2031	51-2031
51-2041	51-2041
51-2051	51-2051
51-2091	51-2051
51-2061	51-2061
51-2093	51-2061
51-2090	51-2092 | 51-2099
51-2092	51-2092 | 51-2099
51-2098	51-2092 | 51-2099
51-2099	51-2092 | 51-2099
51-3011	51-3011
51-3021	51-3021
51-3022	51-3022
51-3023	51-3023
51-3091	51-3091
51-3092	51-3092
51-3093	51-3093
51-4011	51-9161
51-9161	51-9161
51-4012	51-9162
51-9162	51-9162
51-4021	51-4021
51-4022	51-4022
51-4023	51-4023
51-4031	51-4031
51-4032	51-4032
51-4033	51-4033
51-4034	51-4034
51-4035	51-4035
51-4041	51-4041
51-4051	51-4051
51-4052	51-4052
51-4061	51-4061
51-4062	51-4062
51-4071	51-4071
51-4072	51-4072
51-4081	51-4081
51-4111	51-4111
51-4121	51-4121
51-4122	51-4122
51-4191	51-4191
51-4192	51-4192
51-4193	51-4193
51-4194	51-4194
51-5011	51-5113
51-5012	51-5113
51-5113	51-5113
51-5021	51-5112
51-5023	51-5112
51-5112	51-5112
51-5022	51-5111
51-5111	51-5111
51-6011	51-6011
51-6021	51-6021
51-6031	51-6031
51-6041	51-6041
51-6042	51-6042
51-6051	51-6051
51-6052	51-6052
51-6061	51-6061
51-6062	51-6062
51-6063	51-6063
51-6064	51-6064
51-6091	51-6091
51-6092	51-6092
51-6093	51-6093
51-7011	51-7011
51-7021	51-7021
51-7031	51-7031
51-7032	51-7032
51-7041	51-7041
51-7042	51-7042
51-8011	51-8011
51-8012	51-8012
51-8013	51-8013
51-8021	51-8021
51-8031	51-8031
51-8091	51-8091
51-8092	51-8092
51-8093	51-8093
51-9011	51-9011
51-9012	51-9012
51-9021	51-9021
51-9022	51-9022
51-9023	51-9023
51-9031	51-9031
51-9032	51-9032
51-9041	51-9041
51-9051	51-9051
51-9061	51-9061
51-9071	51-9071
51-9081	51-9081
51-9082	51-9082
51-9083	51-9083
51-9111	51-9111
51-9121	51-9124
51-9122	51-9124
51-9124	51-9124
51-9123	51-9123
51-9131	51-9151
51-9132	51-9151
51-9151	51-9151
51-9141	51-9141
51-9191	51-9191
51-9192	51-9192
51-9193	51-9193
51-9194	51-9194
51-9195	51-9195
51-9196	51-9196
51-9197	51-9197
51-9198	51-9198
53-1011	53-1041
53-1041	53-1041
53-1021	53-1042 | 53-1043 | 53-1044 | 53-1049
53-1031	53-1042 | 53-1043 | 53-1044 | 53-1049
53-1047	53-1042 | 53-1043 | 53-1044 | 53-1049
53-1048	53-1042 | 53-1043 | 53-1044 | 53-1049
53-2021	53-2021
53-2022	53-2022
53-3011	53-3011
53-3021	53-3052
53-3052	53-3052
53-3022	53-3051 | 53-3053 | 53-3054
53-3041	53-3051 | 53-3053 | 53-3054
53-3051	53-3051 | 53-3053 | 53-3054
53-3053	53-3051 | 53-3053 | 53-3054
53-3054	53-3051 | 53-3053 | 53-3054
53-3058	53-3051 | 53-3053 | 53-3054
53-3031	53-3031
53-3032	53-3032
53-3033	53-3033
53-4011	53-4011
53-4012	53-4022
53-4021	53-4022
53-4022	53-4022
53-4013	53-4013
53-4031	53-4031
53-4041	53-4041
53-5011	53-5011
53-5021	53-5021
53-5022	53-5022
53-5031	53-5031
53-6011	53-6011
53-6021	53-6021
53-6031	53-6031
53-6032	53-6032 | 53-6099
53-6098	53-6032 | 53-6099
53-6099	53-6032 | 53-6099
53-6041	53-6041
53-6051	53-6051
53-7011	53-7011
53-7021	53-7021
53-7031	53-7031
53-7041	53-7041
53-7051	53-7051
53-7061	53-7061
53-7062	53-7062
53-7063	53-7063
53-7064	53-7064
53-7071	53-7071
53-7072	53-7072
53-7073	53-7073
53-7081	53-7081
53-7121	53-7121
